year,year_rank,group_name,artist,song_name,id,,,,
2013,66,Jason Derulo,Jason Derulo,The Other Side,6434,,,,
2013,65,Of Monsters And Men,Of Monsters And Men,Little Talks,6433,,,,
2013,64,Flo Rida,Flo Rida,I Cry,6432,,,,
2013,63,OneRepublic,OneRepublic,Counting Stars,6431,,,,
2013,62,Imagine Dragons,Imagine Dragons,Demons,6430,,,,
2013,61,Phillip Phillips,Phillip Phillips,"Gone, Gone, Gone",6429,,,,
2013,60,Blake Shelton feat. Pistol Annies and Friends,Piston Annies,Boys 'Round Here,6428,,,,
2013,60,Blake Shelton feat. Pistol Annies and Friends,Blake Shelton,Boys 'Round Here,6427,,,,
2013,59,Wale feat. Tiara Thomas or Rihanna,Tiara Thomas,Bad,6425,,,,
2013,59,Wale feat. Tiara Thomas or Rihanna,Rihanna,Bad,6426,,,,
2013,59,Wale feat. Tiara Thomas or Rihanna,Wale,Bad,6424,,,,
2013,58,fun.,fun.,Some Nights,6423,,,,
2013,57,Ke$ha,Ke$ha,Die Young,6422,,,,
2013,56,Calvin Harris feat. Ellie Goulding,Ellie Goulding,I Need Your Love,6421,,,,
2013,56,Calvin Harris feat. Ellie Goulding,Calvin Harris,I Need Your Love,6420,,,,
2013,55,Psy,Psy,Gangnam Style,6419,,,,
2013,54,Darius Rucker,Darius Rucker,Wagon Wheel,6418,,,,
2013,53,P!nk,P!nk,Try,6417,,,,
2013,52,Mumford and Sons,Mumford and Sons,I Will Wait,6416,,,,
2013,51,Maroon 5,Maroon 5,Love Somebody,6415,,,,
2013,50,Demi Lovato,Demi Lovato,Heart Attack,6414,,,,
2013,49,Alicia Keys feat. Nicki Minaj,Nicki Minaj,Girl On Fire,6413,,,,
2013,49,Alicia Keys feat. Nicki Minaj,Alicia Keys,Girl On Fire,6412,,,,
2013,48,J. Cole feat. Miguel,Miguel,Power Trip,6411,,,,
2013,48,J. Cole feat. Miguel,J. Cole,Power Trip,6410,,,,
2013,47,Imagine Dragons,Imagine Dragons,It's Time,6409,,,,
2013,46,Phillip Phillips,Phillip Phillips,Home,6408,,,,
2013,45,Lana Del Rey and Cedric Gervais,Lana Del Rey,Summertime Sadness,6406,,,,
2013,45,Lana Del Rey and Cedric Gervais,Cedric Gervais,Summertime Sadness,6407,,,,
2013,44,Calvin Harris feat. Florence Welch,Florence Welch,Sweet Nothing,6405,,,,
2013,44,Calvin Harris feat. Florence Welch,Calvin Harris,Sweet Nothing,6404,,,,
2013,43,Macklemore and Ryan Lewis feat. Mary Lambert,Mary Lambert,Same Love,6403,,,,
2013,43,Macklemore and Ryan Lewis feat. Mary Lambert,Ryan Lewis,Same Love,6402,,,,
2013,43,Macklemore and Ryan Lewis feat. Mary Lambert,Macklemore,Same Love,6401,,,,
2013,42,Justin Bieber feat. Nicki Minaj,Justin Bieber,Beauty And A Beat,6399,,,,
2013,42,Justin Bieber feat. Nicki Minaj,Nicki Minaj,Beauty And A Beat,6400,,,,
2013,41,"A$AP Rocky feat. Drake, 2 Chainz and Kendrick Lamar",A$AP Rocky,F**kin Problems,6395,,,,
2013,41,"A$AP Rocky feat. Drake, 2 Chainz and Kendrick Lamar",Kendrick Lamar,F**kin Problems,6398,,,,
2013,41,"A$AP Rocky feat. Drake, 2 Chainz and Kendrick Lamar",2 Chainz,F**kin Problems,6397,,,,
2013,41,"A$AP Rocky feat. Drake, 2 Chainz and Kendrick Lamar",Drake,F**kin Problems,6396,,,,
2013,40,Fall Out Boy,Fall Out Boy,My Songs Know What You Did In The Dark (Light Em Up),6394,,,,
2013,39,Lil Wayne feat. Drake and Future,Drake,Love Me,6392,,,,
2013,39,Lil Wayne feat. Drake and Future,Future,Love Me,6393,,,,
2013,39,Lil Wayne feat. Drake and Future,Lil Wayne,Love Me,6391,,,,
2013,38,Maroon 5,Maroon 5,One More Night,6390,,,,
2013,37,Lady Gaga,Lady Gaga,Applause,6389,,,,
2013,36,Pitbull feat. Christina Aguilera,Pitbull,Feel This Moment,6387,,,,
2013,36,Pitbull feat. Christina Aguilera,Christina Aguilera,Feel This Moment,6388,,,,
2013,35,Maroon 5,Maroon 5,Daylight,6386,,,,
2013,34,Drake feat. Majid Jordan,Majid Jordan,"Hold On, We're Going Home",6385,,,,
2013,34,Drake feat. Majid Jordan,Drake,"Hold On, We're Going Home",6384,,,,
2013,33,Selena Gomez,Selena Gomez,Come and Get It,6383,,,,
2013,32,Drake,Drake,Started From The Bottom,6382,,,,
2013,31,Ariana Grande feat. Mac Miller,Mac Miller,The Way,6381,,,,
2013,31,Ariana Grande feat. Mac Miller,Ariana Grande,The Way,6380,,,,
2013,30,Bruno Mars,Bruno Mars,Treasure,6379,,,,
2013,29,Capital Cities,Capital Cities,Safe And Sound,6378,,,,
2013,28,Icona Pop feat. Charli XCX,Icona Pop,I Love It,6376,,,,
